System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 cbe
Machine Name:	 PPS-4CD0A2279E2

Data properties:

Recording name:	 Rec 36
Recording date:	 2014/10/23
Recording time:	 14:15:47
Recording resolution:	 1280 x 1024

Export date:	 2014/10/23
Export time:	 14:47:52

Participant:	 ESF46
Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 20
Min duration: 100

Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
0																					ImageStart	8	0	0	blue1280x1080.gif																	
26	14:15:47.026	00:00:00.026	0	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	26064	11893386077	
43	14:15:47.043	00:00:00.042	1	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	42686	11893402699	
59	14:15:47.059	00:00:00.059	2	-143.136	646.1544	0.8283605	0.2986442	587.8828	3.323362	0	-1280	-1024	-1	-1	-1	-1	4		-143	646						blue1280x1080.gif	0	1280	1024	0	0				0	Content		-143	646	59445	11893419458	
76	14:15:47.076	00:00:00.076	3	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	76056	11893436069	
93	14:15:47.093	00:00:00.092	4	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	92672	11893452685	
109	14:15:47.109	00:00:00.109	5	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	109299	11893469312	
126	14:15:47.126	00:00:00.125	6	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	125921	11893485934	
143	14:15:47.143	00:00:00.142	7	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	142544	11893502557	
159	14:15:47.159	00:00:00.159	8	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	159291	11893519304	
176	14:15:47.176	00:00:00.175	9	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	175911	11893535924	
193	14:15:47.193	00:00:00.192	10	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	192535	11893552548	
209	14:15:47.209	00:00:00.209	11	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	209157	11893569170	
226	14:15:47.226	00:00:00.225	12	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	225905	11893585918	
243	14:15:47.243	00:00:00.242	13	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	242528	11893602541	
259	14:15:47.259	00:00:00.259	14	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	259150	11893619163	
276	14:15:47.276	00:00:00.275	15	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	275774	11893635787	
293	14:15:47.293	00:00:00.292	16	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	292817	11893652830	
310	14:15:47.310	00:00:00.309	17	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						blue1280x1080.gif	0	1280	1024	0	0				0	Content		0	0	309520	11893669533	
