2014-10-23 14-15-41
Time,X,Y,Flag,Gif,Error,LineFlag
16,799,457,0,0,0,True
33,799,457,0,0,0,True
50,799,457,0,0,0,True
66,799,457,0,0,0,True
83,799,457,0,0,0,True
100,799,457,0,0,0,True
116,799,457,0,0,0,True
133,799,457,0,0,0,True
150,799,457,0,0,0,True
166,799,457,0,0,0,True
183,799,457,0,0,0,True
200,799,457,0,0,0,True
216,799,457,0,0,0,True
233,799,457,0,0,0,True
250,799,457,0,0,0,True
266,799,457,0,0,0,True
283,799,457,0,0,0,True
300,799,457,0,0,0,True
316,799,457,0,0,0,True
333,799,457,0,0,0,True
350,799,457,0,0,0,True
366,799,457,0,0,0,True
383,799,457,0,0,0,True
400,799,457,0,0,0,True
416,799,457,0,0,0,True
433,799,457,0,0,0,True
450,799,457,0,0,0,True
466,799,457,0,0,0,True
483,799,457,0,0,0,True
500,799,457,0,0,0,True
516,799,457,0,0,0,True
533,799,457,0,0,0,True
550,799,457,0,0,0,True
566,799,457,0,0,0,True
583,799,457,0,0,0,True
600,799,457,0,0,0,True
616,799,457,0,0,0,True
633,799,457,0,0,0,True
650,799,457,0,0,0,True
666,799,457,0,0,0,True
683,799,457,0,0,0,True
700,799,457,0,0,0,True
716,799,457,0,0,0,True
733,799,457,0,0,0,True
750,799,457,0,0,0,True
766,799,457,0,0,0,True
783,799,457,0,0,0,True
800,799,457,0,0,0,True
816,799,457,0,0,0,True
833,799,457,0,0,0,True
850,799,457,0,0,0,True
866,799,457,0,0,0,True
883,799,457,0,0,0,True
900,799,457,0,0,0,True
916,799,457,0,0,0,True
933,799,457,0,0,0,True
950,799,457,0,0,0,True
966,799,457,0,0,0,True
983,799,457,0,0,0,True
1000,799,457,0,0,0,True
1016,799,457,0,0,0,True
1033,799,457,0,0,0,True
1050,799,457,0,0,0,True
1066,799,457,0,0,0,True
1083,799,457,0,0,0,True
1100,799,457,0,0,0,True
1116,799,457,0,0,0,True
1133,799,457,0,0,0,True
1150,799,457,0,0,0,True
1166,799,457,0,0,0,True
1183,799,457,0,0,0,True
1200,799,457,0,0,0,True
1216,799,457,0,0,0,True
1233,799,457,0,0,0,True
1250,799,457,0,0,0,True
1266,799,457,0,0,0,True
1283,799,457,0,0,0,True
1300,799,457,0,0,0,True
1316,799,457,0,0,0,True
1333,799,457,0,0,0,True
1350,799,457,0,0,0,True
1366,799,457,0,0,0,True
1383,799,457,0,0,0,True
1400,799,457,0,0,0,True
1416,799,457,0,0,0,True
1433,799,457,0,0,0,True
1450,799,457,0,0,0,True
1466,799,457,0,0,0,True
1483,799,457,0,0,0,True
1500,799,457,0,0,0,True
1516,799,457,0,0,0,True
1533,799,457,0,0,0,True
1550,799,457,0,0,0,True
1566,799,457,0,0,0,True
1583,799,457,0,0,0,True
1600,799,457,0,0,0,True
1616,799,457,0,0,0,True
1633,799,457,0,0,0,True
1650,799,457,0,0,0,True
1666,799,457,0,0,0,True
1683,799,457,0,0,0,True
1700,799,457,0,0,0,True
1716,799,457,0,0,0,True
1733,799,457,0,0,0,True
1750,799,457,0,0,0,True
1766,799,457,0,0,0,True
1783,799,457,0,0,0,True
1800,799,457,0,0,0,True
1816,799,457,0,0,0,True
1833,799,457,0,0,0,True
1850,799,457,0,0,0,True
1866,799,457,0,0,0,True
1883,799,457,0,0,0,True
1900,799,457,0,0,0,True
1916,799,457,0,0,0,True
1933,799,457,0,0,0,True
1950,799,457,0,0,0,True
1966,799,457,0,0,0,True
1983,799,457,0,0,0,True
2000,799,457,0,0,0,True
2016,799,457,0,0,0,True
2033,799,457,0,0,0,True
2050,799,457,0,0,0,True
2066,799,457,0,0,0,True
2083,799,457,0,0,0,True
2100,799,457,0,0,0,True
2116,799,457,0,0,0,True
2133,799,457,0,0,0,True
2150,799,457,0,0,0,True
2166,799,457,0,0,0,True
2183,799,457,0,0,0,True
2200,799,457,0,0,0,True
2216,799,457,0,0,0,True
2233,799,457,0,0,0,True
2250,799,457,0,0,0,True
2266,799,457,0,0,0,True
2283,799,457,0,0,0,True
2300,799,457,0,0,0,True
2316,799,457,0,0,0,True
2333,799,457,0,0,0,True
2350,799,457,0,0,0,True
2366,799,457,0,0,0,True
2383,799,457,0,0,0,True
2400,799,457,0,0,0,True
2416,799,457,0,0,0,True
2433,799,457,0,0,0,True
2450,799,457,0,0,0,True
2466,799,457,0,0,0,True
2483,799,457,0,0,0,True
2500,799,457,0,0,0,True
2516,799,457,0,0,0,True
2533,799,457,0,0,0,True
2550,799,457,0,0,0,True
2566,799,457,0,0,0,True
2583,799,457,0,0,0,True
2600,799,457,0,0,0,True
2616,799,457,0,0,0,True
2633,799,457,0,0,0,True
2650,799,457,0,0,0,True
2666,799,457,0,0,0,True
2683,799,457,0,0,0,True
2700,799,457,0,0,0,True
2716,799,457,0,0,0,True
2733,799,457,0,0,0,True
2750,799,457,0,0,0,True
2766,799,457,0,0,0,True
2783,799,457,0,0,0,True
2800,799,457,0,0,0,True
2816,799,457,0,0,0,True
2833,799,457,0,0,0,True
2850,799,457,0,0,0,True
2866,799,457,0,0,0,True
2883,799,457,0,0,0,True
2900,799,457,0,0,0,True
2916,799,457,0,0,0,True
2933,799,457,0,0,0,True
2950,799,457,0,0,0,True
2966,799,457,0,0,0,True
2983,799,457,0,0,0,True
3000,799,457,0,0,0,True
3016,799,457,0,0,0,True
3033,799,457,0,0,0,True
3050,799,457,0,0,0,True
3066,799,457,0,0,0,True
3083,799,457,0,0,0,True
3100,799,457,0,0,0,True
3116,799,457,0,0,0,True
3133,799,457,0,0,0,True
3150,799,457,0,0,0,True
3166,799,457,0,0,0,True
3183,799,457,0,0,0,True
3200,799,457,0,0,0,True
3216,799,457,0,0,0,True
3233,799,457,0,0,0,True
3250,799,457,0,0,0,True
3266,799,457,0,0,0,True
3283,799,457,0,0,0,True
3300,799,457,0,0,0,True
3316,799,457,0,0,0,True
3333,799,457,0,0,0,True
3350,799,457,0,0,0,True
3366,799,457,0,0,0,True
3383,799,457,0,0,0,True
3400,799,457,0,0,0,True
3416,799,457,0,0,0,True
3433,799,457,0,0,0,True
3450,799,457,0,0,0,True
3466,799,457,0,0,0,True
3483,799,457,0,0,0,True
3500,799,457,0,0,0,True
3516,799,457,0,0,0,True
3533,799,457,0,0,0,True
3550,799,457,0,0,0,True
3566,799,457,0,0,0,True
3583,799,457,0,0,0,True
3600,799,457,0,0,0,True
3616,799,457,0,0,0,True
3633,799,457,0,0,0,True
3650,799,457,0,0,0,True
3666,799,457,0,0,0,True
3683,799,457,0,0,0,True
3700,799,457,0,0,0,True
3716,799,457,0,0,0,True
3733,799,457,0,0,0,True
3750,799,457,0,0,0,True
3766,799,457,0,0,0,True
3783,799,457,0,0,0,True
3800,799,457,0,0,0,True
3816,799,457,0,0,0,True
3833,799,457,0,0,0,True
3850,799,457,0,0,0,True
3866,799,457,0,0,0,True
3883,799,457,0,0,0,True
3900,799,457,0,0,0,True
3916,799,457,0,0,0,True
3933,799,457,0,0,0,True
3950,799,457,0,0,0,True
3966,799,457,0,0,0,True
3983,799,457,0,0,0,True
4000,799,457,0,0,0,True
4067,799,457,0,1,0,True
